"chromosome"	"V1"	"V2"
"1049"	"1"	273174	273788
"1053"	"1"	273794	273992
"1056"	"1"	274035	274364
"1060"	"1"	274677	275387
"1064"	"1"	275356	276999
"1068"	"1"	276989	279514
"1072"	"1"	279540	280208
"1076"	"1"	280266	280901
"1080"	"1"	280927	281517
"1084"	"1"	282292	282519
"1088"	"1"	282694	282957
"1092"	"1"	284537	288793
"1096"	"1"	288933	289784
"1100"	"1"	290375	290968
"1104"	"1"	290980	291216
"1108"	"1"	291325	292650
"1112"	"1"	292876	293730
"1116"	"1"	294257	294976
"1120"	"1"	294987	296414
"1124"	"1"	296407	297102
"1128"	"1"	297057	297269
"1132"	"1"	297345	298013
"1136"	"1"	298226	299896
"1140"	"1"	299910	301382
"1144"	"1"	301396	301983
"1148"	"1"	302112	304145
"1152"	"1"	305020	306108
"1156"	"1"	306150	307082
"1160"	"1"	307174	307671
"1164"	"1"	307929	308534
"1168"	"1"	308574	309437
"1172"	"1"	309427	310974
"1176"	"1"	310974	312392
"1180"	"1"	312814	313764
"1184"	"1"	313774	315156
"1188"	"1"	315533	316582
"1192"	"1"	316826	317641
"1196"	"1"	318054	318299
"1200"	"1"	318316	318987
"1204"	"1"	319134	319409
"1208"	"1"	319507	321093
"1212"	"1"	321332	322222
"1216"	"1"	322662	323831
"1220"	"1"	323865	325316
"1224"	"1"	325356	327242
"1228"	"1"	327478	328737
"1232"	"1"	328727	330010
"1236"	"1"	330347	331246
"1240"	"1"	331355	332014
"1244"	"1"	332045	332515
"1248"	"1"	332548	333702
"1252"	"1"	333805	334416
"1256"	"1"	334482	335735
"1260"	"1"	335787	338861
"1264"	"1"	338984	340066
"1268"	"1"	340143	341090
"1272"	"1"	341167	342831
"1276"	"1"	342833	343777
"1280"	"1"	343780	344661
"1284"	"1"	344671	345480
"1288"	"1"	345477	346427
"1292"	"1"	346424	347437
"1296"	"1"	347815	349026
"1300"	"1"	349128	349667
"1304"	"1"	349893	350726
"1308"	"1"	350819	351928
"1312"	"1"	351963	352238
"1316"	"1"	352424	353197
"1320"	"1"	353264	354031
"1321"	"1"	353279	353782
"1325"	"1"	353701	353976
"1329"	"1"	354140	355102
"1333"	"1"	355115	355882
"1337"	"1"	355879	356706
"1341"	"1"	356703	357554
"1345"	"1"	357661	358635
"1349"	"1"	358825	359022
"1353"	"1"	359158	362064
"1357"	"1"	362107	362775
"1361"	"1"	362776	363933
"1365"	"1"	364285	365505
"1369"	"1"	365518	366612
"1373"	"1"	366671	366979
"1377"	"1"	367239	367451
"1381"	"1"	367475	368569
"1385"	"1"	369032	369292
"1389"	"1"	369393	370808
"1393"	"1"	370927	371247
"1397"	"1"	371349	372464
"1401"	"1"	372481	373290
"1405"	"1"	373410	373868
"1409"	"1"	374051	374575
"1413"	"1"	374625	374816
"1417"	"1"	375074	375751
"1421"	"1"	375823	376107
"1425"	"1"	376315	376596
"1429"	"1"	376749	377516
"1430"	"1"	376764	377267
"1434"	"1"	377186	377461
"1438"	"1"	377531	378442
"1442"	"1"	378567	379475
"1446"	"1"	379720	380904
"1450"	"1"	381030	384176
"1454"	"1"	384173	385375
"1458"	"1"	385565	386254
"1462"	"1"	386312	387607
"1466"	"1"	388014	389333
"1470"	"1"	389409	390782
"1474"	"1"	390938	392755
"1478"	"1"	393434	394504
"1482"	"1"	394560	395687
"1486"	"1"	395710	396042
"1490"	"1"	396070	397917
"1494"	"1"	397928	398899
"1498"	"1"	399027	399374
"1502"	"1"	399662	400435
"1506"	"1"	400734	401273
"1510"	"1"	401424	401873
"1514"	"1"	401877	402980
"1518"	"1"	403069	403539
"1522"	"1"	403559	403978
"1526"	"1"	404056	405033
"1530"	"1"	405011	405529
"1534"	"1"	405583	406557
"1538"	"1"	406737	408599
"1542"	"1"	408624	409523
"1546"	"1"	409523	409765
"1550"	"1"	409971	411419
"1554"	"1"	411473	412063
"1558"	"1"	412026	412937
"1562"	"1"	413105	413596
"1566"	"1"	413724	415088
"1570"	"1"	415505	416440
"1574"	"1"	416496	417038
"1578"	"1"	417022	417399
"1582"	"1"	417518	418408
"1586"	"1"	418420	418749
"1590"	"1"	418749	419363
"1594"	"1"	419353	421344
"1598"	"1"	421366	422313
"1602"	"1"	422775	424250
"1606"	"1"	424294	424872
"1610"	"1"	425177	425494
"1614"	"1"	425838	427136
"1618"	"1"	427382	428005
"1622"	"1"	428131	429405
"1626"	"1"	429426	429522
"1629"	"1"	429502	430844
"1630"	"1"	429675	430787
"1634"	"1"	430943	433297
"1638"	"1"	433506	433778
"1642"	"1"	433599	433743
"1645"	"1"	433970	435841
"1649"	"1"	435992	436363
"1653"	"1"	436469	436867
"1657"	"1"	436919	437614
"1661"	"1"	437679	439379
"1665"	"1"	439479	440297
"1669"	"1"	440450	440908
"1673"	"1"	440938	442710
"1677"	"1"	442703	444484
"1681"	"1"	444665	445003
"1685"	"1"	445033	446319
"1689"	"1"	446368	447228
"1693"	"1"	447446	448018
"1697"	"1"	448049	448438
"1701"	"1"	448523	448619
"1704"	"1"	448739	449092
"1708"	"1"	449134	450684
"1712"	"1"	450848	451318
"1716"	"1"	451434	451985
"1720"	"1"	452157	452375
"1724"	"1"	452401	452775
"1728"	"1"	453321	456470
"1732"	"1"	456493	457686
"1736"	"1"	457828	458475
"1740"	"1"	458603	461965
"1744"	"1"	462177	462338
"1748"	"1"	462352	462879
"1752"	"1"	462949	463326
"1756"	"1"	463479	464030
"1760"	"1"	464159	466090
"1764"	"1"	466143	466472
"1768"	"1"	466472	467077
"1772"	"1"	467187	469061
"1776"	"1"	469242	469886
"1780"	"1"	470122	471084
"1784"	"1"	471081	472040
"1788"	"1"	472192	473496
"1792"	"1"	473629	475305
"1796"	"1"	475543	476763
"1800"	"1"	476981	478633
"1804"	"1"	478670	479149
"1808"	"1"	479271	479354
"1811"	"1"	479353	480147
"1815"	"1"	480285	480626
"1819"	"1"	481043	483547
"1823"	"1"	483809	484741
"1827"	"1"	484744	486036
"1831"	"1"	486161	486568
"1835"	"1"	486569	487024
"1839"	"1"	487024	487941
"1843"	"1"	488087	488764
"1847"	"1"	488751	489530
"1851"	"1"	489593	490447
"1855"	"1"	490508	491317
"1859"	"1"	491307	491933
"1863"	"1"	491901	492587
"1867"	"1"	492584	494998
"1871"	"1"	495428	499708
"1875"	"1"	499748	500116
"1879"	"1"	500116	500826
"1883"	"1"	500807	501067
"1887"	"1"	501811	502182
"1891"	"1"	502298	503392
"1895"	"1"	503461	504387
"1899"	"1"	504617	505099
"1903"	"1"	505177	505992
"1907"	"1"	506082	507863
"1911"	"1"	507876	508652
"1915"	"1"	508752	509630
"1919"	"1"	509662	509940
"1923"	"1"	509799	511253
"1927"	"1"	511313	512674
"1931"	"1"	512731	514032
"1935"	"1"	514054	515199
"1939"	"1"	515354	515420
"1942"	"1"	515427	516212
"1946"	"1"	516223	517458
"1950"	"1"	517480	518529
"1954"	"1"	518846	520513
"1958"	"1"	520523	521782
"1962"	"1"	521889	522608
"1966"	"1"	522605	523498
"1970"	"1"	523635	524702
"1974"	"1"	524699	525208
"1978"	"1"	525326	526048
"1982"	"1"	526051	526545
"1986"	"1"	526719	528104
"1990"	"1"	528140	528661
"1994"	"1"	528769	528981
"1998"	"1"	528983	529849
"2002"	"1"	530320	530862
"2006"	"1"	531082	531774
"2010"	"1"	531805	534414
"2014"	"1"	534456	535433
"2018"	"1"	535444	535959
"2022"	"1"	535962	536594
"2026"	"1"	536837	536910
"2029"	"1"	536837	536913
"2032"	"1"	536916	561454
"2033"	"1"	536929	538092
"2037"	"1"	537948	538349
"2041"	"1"	538617	538835
"2045"	"1"	538934	539248
"2049"	"1"	539226	539591
"2053"	"1"	539952	540137
"2057"	"1"	540205	540537
"2061"	"1"	540792	542318
"2065"	"1"	542783	543334
"2069"	"1"	543344	544141
"2073"	"1"	544356	544811
"2077"	"1"	544811	544981
"2081"	"1"	544974	545264
"2085"	"1"	545261	545623
"2089"	"1"	545620	545760
"2093"	"1"	545846	546229
"2097"	"1"	546932	547699
"2098"	"1"	546947	547450
"2102"	"1"	547369	547644
"2106"	"1"	548867	549082
"2110"	"1"	549082	549579
"2114"	"1"	549576	550037
"2118"	"1"	550069	550362
"2122"	"1"	550723	550917
"2126"	"1"	551306	551881
"2130"	"1"	551841	554657
"2134"	"1"	554716	557061
"2138"	"1"	557058	557339
"2142"	"1"	557349	558053
"2146"	"1"	558064	558357
"2150"	"1"	558112	558447
"2154"	"1"	559033	559782
"2158"	"1"	560031	560984
"2162"	"1"	561498	562259
"2166"	"1"	562442	563332
"2170"	"1"	563333	566305
"2174"	"1"	568652	568822
"2178"	"1"	568800	569936
"2182"	"1"	570615	570776
"2186"	"1"	570901	571191
"2190"	"1"	571188	571448
"2194"	"1"	571481	572038
"2198"	"1"	571890	573488
"2202"	"1"	574225	575673
"2206"	"1"	575663	576346
"2210"	"1"	576503	577876
"2214"	"1"	578034	578366
"2218"	"1"	578382	579605
"2222"	"1"	579617	582760
"2226"	"1"	582862	584238
"2230"	"1"	584306	585553
"2234"	"1"	585661	586314
"2238"	"1"	586408	586776
"2242"	"1"	586841	587089
"2246"	"1"	587155	588273
"2250"	"1"	588495	590445
"2251"	"1"	588542	589063
"2255"	"1"	589555	590322
"2256"	"1"	589570	590073
"2260"	"1"	589992	590267
"2264"	"1"	590543	590695
"2268"	"1"	590715	592057
"2269"	"1"	590772	591884
"2273"	"1"	592166	592795
"2277"	"1"	592961	595201
"2281"	"1"	595523	596647
"2285"	"1"	596650	596868
"2289"	"1"	596865	600746
"2293"	"1"	600962	602095
"2297"	"1"	602092	602907
"2301"	"1"	602904	603896
"2305"	"1"	603893	604897
"2309"	"1"	605008	606258
"2313"	"1"	606262	607218
"2317"	"1"	607593	608768
"2321"	"1"	608778	610388
"2325"	"1"	610402	611259
"2329"	"1"	611259	612005
"2333"	"1"	612008	612421
"2337"	"1"	614879	615076
"2341"	"1"	615086	616174
"2345"	"1"	616283	617443
"2349"	"1"	617444	618073
"2353"	"1"	618046	619107
"2357"	"1"	619117	619884
"2358"	"1"	619132	619635
"2362"	"1"	619554	619829
"2366"	"1"	619863	620624
"2370"	"1"	620758	620851
"2373"	"1"	620996	621559
"2377"	"1"	621804	623369
"2381"	"1"	623490	623918
"2385"	"1"	624139	625377
"2389"	"1"	625608	626018
"2393"	"1"	626064	626172
"2396"	"1"	626248	627054
"2400"	"1"	627168	628631
"2404"	"1"	628682	629560
"2408"	"1"	629535	630086
"2412"	"1"	630090	631622
"2416"	"1"	631633	632541
"2420"	"1"	632538	632834
"2424"	"1"	632849	633907
"2428"	"1"	633978	634745
"2429"	"1"	633993	634496
"2433"	"1"	634415	634690
"2437"	"1"	634823	636481
"2441"	"1"	636450	637130
"2445"	"1"	637171	638556
"2449"	"1"	639144	639704
"2453"	"1"	639873	640082
"2457"	"1"	640137	640520
"2461"	"1"	640613	641401
"2465"	"1"	641530	641733
"2469"	"1"	641834	642799
"2473"	"1"	643008	643961
"2477"	"1"	644220	644861
"2481"	"1"	644962	645225
"2485"	"1"	645335	646546
"2489"	"1"	646686	647774
"2493"	"1"	647785	648897
"2497"	"1"	648900	650801
"2501"	"1"	650832	651299
"2505"	"1"	651303	651620
"2509"	"1"	651880	652491
"2513"	"1"	652515	653156
"2517"	"1"	653158	654189
"2521"	"1"	654189	654770
"2525"	"1"	654785	657367
"2529"	"1"	657602	658084
"2533"	"1"	659295	660002
"2537"	"1"	660310	661449
"2541"	"1"	661509	663179
"2545"	"1"	663263	664198
"2549"	"1"	664688	666130
"2550"	"1"	664735	665256
"2554"	"1"	665253	666104
"2558"	"1"	666487	667161
"2562"	"1"	667161	667901
"2566"	"1"	667913	668075
"2569"	"1"	668071	668979
"2573"	"1"	669434	671311
"2577"	"1"	671438	672976
"2581"	"1"	673001	673879
"2585"	"1"	673969	674436
"2589"	"1"	674433	675512
"2593"	"1"	675626	677050
"2597"	"1"	677196	678371
"2601"	"1"	678525	678599
"2604"	"1"	678528	678599
"2607"	"1"	678637	678711
"2610"	"1"	678640	678711
"2613"	"1"	678759	678835
"2616"	"1"	678762	678835
"2619"	"1"	678851	678925
"2622"	"1"	678854	678925
"2625"	"1"	678960	679034
"2628"	"1"	678963	679034
"2631"	"1"	679058	679142
"2634"	"1"	679061	679142
"2637"	"1"	679151	679227
"2640"	"1"	679154	679227
"2643"	"1"	679608	681272
"2647"	"1"	681669	682421
"2651"	"1"	682469	683689
"2655"	"1"	683698	684846
"2659"	"1"	684906	685706
"2663"	"1"	686039	687985
"2667"	"1"	688188	689852
"2671"	"1"	690429	691835
"2675"	"1"	691885	692211
"2679"	"1"	692295	692741
"2683"	"1"	693030	693560
"2687"	"1"	693700	693993
"2691"	"1"	694133	694897
"2695"	"1"	695082	695627
"2699"	"1"	695653	697293
"2703"	"1"	697507	698001
"2707"	"1"	698042	698692
"2711"	"1"	699041	700360
"2715"	"1"	700357	702555
"2719"	"1"	702678	702935
"2723"	"1"	703151	703828
"2727"	"1"	703825	706512
"2731"	"1"	706502	707074
"2735"	"1"	707083	709131
"2739"	"1"	709154	710827
"2743"	"1"	710827	710916
"2747"	"1"	711229	711435
"2751"	"1"	711856	713520
"2755"	"1"	713520	713846
"2759"	"1"	713964	715397
"2763"	"1"	715394	715963
"2767"	"1"	716159	716434
"2771"	"1"	716646	716924
"2775"	"1"	717143	717385
"2779"	"1"	718985	719746
"2783"	"1"	719894	720403
"2787"	"1"	720400	721821
"2791"	"1"	721860	723341
"2795"	"1"	723612	724355
"2799"	"1"	724378	725034
"2803"	"1"	725028	725960
"2807"	"1"	725950	726684
"2811"	"1"	726720	727511
"2815"	"1"	727508	728554
"2819"	"1"	728706	729767
"2823"	"1"	729764	730495
"2827"	"1"	730510	732960
"2831"	"1"	733020	733586
"2835"	"1"	733976	735259
"2839"	"1"	735968	736357
"2843"	"1"	736351	736698
"2847"	"1"	736698	738464
"2851"	"1"	738480	739196
"2855"	"1"	739497	742298
"2859"	"1"	742313	743530
"2863"	"1"	743896	745062
"2867"	"1"	745062	745931
"2871"	"1"	746035	746757
"2875"	"1"	746866	748842
"2879"	"1"	748860	751493
"2883"	"1"	752340	753908
"2887"	"1"	753924	755063
"2891"	"1"	755078	755191
"2895"	"1"	755191	755484
"2899"	"1"	755634	756038
"2903"	"1"	756035	756727
"2907"	"1"	756731	757159
"2911"	"1"	757224	758489
"2915"	"1"	758622	759914
"2919"	"1"	759949	760470
"2923"	"1"	760480	761271
"2927"	"1"	761436	761508
"2930"	"1"	761436	761511
"2933"	"1"	761647	761719
"2936"	"1"	761647	761722
"2939"	"1"	761725	761797
"2942"	"1"	761725	761800
"2945"	"1"	761852	761924
"2948"	"1"	761852	761927
"2951"	"1"	761931	762003
"2954"	"1"	761931	762006
"2957"	"1"	762153	762225
"2960"	"1"	762153	762228
"2963"	"1"	762361	762433
"2966"	"1"	762361	762436
"2969"	"1"	762714	763757
"2973"	"1"	763795	764514
"2977"	"1"	764511	765452
"2981"	"1"	765566	765946
"2985"	"1"	766262	767314
"2989"	"1"	767472	768224
"2993"	"1"	768426	769466
"2997"	"1"	769460	770608
"3001"	"1"	770612	771658
"3005"	"1"	771668	772684
"3009"	"1"	772945	774417
"3013"	"1"	774485	775273
"3017"	"1"	775402	775551
"3021"	"1"	775718	776491
"3025"	"1"	776491	777180
"3029"	"1"	777183	778241
"3033"	"1"	778242	779060
"3037"	"1"	779215	780210
"3041"	"1"	780251	781267
"3045"	"1"	781388	782440
"3049"	"1"	782516	783949
"3053"	"1"	784132	786393
"3057"	"1"	786534	787817
"3061"	"1"	787879	799953
"3062"	"1"	787952	789022
"3066"	"1"	789498	789782
"3070"	"1"	789775	790113
"3074"	"1"	790059	790430
"3078"	"1"	790244	790588
"3082"	"1"	790569	790754
"3086"	"1"	791455	792006
"3090"	"1"	792009	793631
"3094"	"1"	793631	794392
"3098"	"1"	794442	794900
"3102"	"1"	794897	795295
"3106"	"1"	795337	796329
"3110"	"1"	796755	798092
"3114"	"1"	798130	799275
"3118"	"1"	800059	800535
"3122"	"1"	800594	801883
"3126"	"1"	801970	803010
"3130"	"1"	803007	804161
"3134"	"1"	804148	804903
"3138"	"1"	804896	805573
"3142"	"1"	806152	808173
"3146"	"1"	808365	809273
"3150"	"1"	809670	810659
"3154"	"1"	810681	811193
"3158"	"1"	811196	811681
"3162"	"1"	811674	811919
"3166"	"1"	811921	812373
"3170"	"1"	812509	813213
"3174"	"1"	813418	814131
"3178"	"1"	814167	815123
"3182"	"1"	815123	816364
"3186"	"1"	816361	817122
"3190"	"1"	817255	817665
"3194"	"1"	817627	818733
"3198"	"1"	818744	819877
"3202"	"1"	819870	821606
"3206"	"1"	821599	822597
"3210"	"1"	822597	823268
"3214"	"1"	823497	824861
"3218"	"1"	825093	825575
"3222"	"1"	825695	827845
"3226"	"1"	827873	828835
"3230"	"1"	828976	830061
"3234"	"1"	830290	830550
"3238"	"1"	830815	831081
"3242"	"1"	831155	831832
"3246"	"1"	831874	834156
"3250"	"1"	834421	834681
"3254"	"1"	834957	835883
"3258"	"1"	835880	838105
"3262"	"1"	838366	839088
"3266"	"1"	839085	839744
"3270"	"1"	839883	840629
"3274"	"1"	841033	841536
"3278"	"1"	841835	842722
"3282"	"1"	843075	843590
"3286"	"1"	843639	845222
"3290"	"1"	845296	845565
"3294"	"1"	845808	846275
"3298"	"1"	846272	847390
"3302"	"1"	847449	848369
"3306"	"1"	848588	850180
"3310"	"1"	850348	851613
"3314"	"1"	851765	852580
"3318"	"1"	852726	855158
"3322"	"1"	855164	856090
"3326"	"1"	856194	856856
"3330"	"1"	856932	857681
"3334"	"1"	857681	858916
"3338"	"1"	859120	860085
"3342"	"1"	860105	861943
"3346"	"1"	862020	863501
"3350"	"1"	863519	864439
"3354"	"1"	864442	865353
"3358"	"1"	865783	867879
"3362"	"1"	867887	869215
"3366"	"1"	869262	870587
"3370"	"1"	870800	871183
"3374"	"1"	871294	872409
"3378"	"1"	872406	873032
"3382"	"1"	873279	874481
"3386"	"1"	874528	875286
"3390"	"1"	875344	875940
"3394"	"1"	876225	877457
"3398"	"1"	877498	877782
"3402"	"1"	877868	878683
"3406"	"1"	878683	879891
"3410"	"1"	879975	880511
"3414"	"1"	880691	881023
"3418"	"1"	881132	882076
"3422"	"1"	881132	904620
"3423"	"1"	882310	882462
"3427"	"1"	882542	883105
"3431"	"1"	883237	883458
"3435"	"1"	883491	884000
"3439"	"1"	883969	884208
"3443"	"1"	884172	884513
"3447"	"1"	884581	884814
"3451"	"1"	884814	885041
"3455"	"1"	885038	885895
"3459"	"1"	885892	888306
"3463"	"1"	888459	888647
"3467"	"1"	888586	888891
"3471"	"1"	889084	889419
"3475"	"1"	889691	889855
"3479"	"1"	889892	890815
"3483"	"1"	890807	890880
"3486"	"1"	890978	891940
"3490"	"1"	891958	892986
"3494"	"1"	892983	894749
"3498"	"1"	894892	895644
"3502"	"1"	895638	895784
"3506"	"1"	895781	896209
"3510"	"1"	896052	896342
"3514"	"1"	896305	896736
"3518"	"1"	896729	897175
"3522"	"1"	897117	897923
"3526"	"1"	897784	898605
"3530"	"1"	898602	898961
"3534"	"1"	898948	899856
"3538"	"1"	899849	900454
"3542"	"1"	900451	902073
"3546"	"1"	902075	902512
"3550"	"1"	902484	903086
"3554"	"1"	903086	903625
"3558"	"1"	903656	903931
"3562"	"1"	903928	904296
"3566"	"1"	904354	904605
"3570"	"1"	904683	904761
"3573"	"1"	904841	906526
"3577"	"1"	906796	907173
"3581"	"1"	907203	907460
"3585"	"1"	907620	907907
"3589"	"1"	907891	908613
"3593"	"1"	908674	909576
"3597"	"1"	909664	910140
"3601"	"1"	910491	911603
"3605"	"1"	911698	912831
"3609"	"1"	912841	913794
"3613"	"1"	913791	914636
"3617"	"1"	914696	915184
"3621"	"1"	915225	916352
"3625"	"1"	916551	917282
"3629"	"1"	917573	918241
"3633"	"1"	918241	918957
"3637"	"1"	918964	919695
"3641"	"1"	919713	920441
"3645"	"1"	920659	921174
"3649"	"1"	921300	921623
"3653"	"1"	921620	922450
"3657"	"1"	922447	923460
"3661"	"1"	923559	924989
"3665"	"1"	925000	926001
"3669"	"1"	926038	927756
"3673"	"1"	927889	928857
"3677"	"1"	928869	930521
